cesta_k_souboru,sirka,vyska,prumerny_jas,label
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000001.jpg,750,1334,59.16,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000002.jpg,800,1422,136.67,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000003.jpg,736,736,35.5,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000004.jpg,960,1816,60.62,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000005.jpg,1920,1280,32.64,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000006.jpg,1024,768,37.46,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000007.jpg,729,729,50.55,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000008.jpg,474,709,124.88,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000009.jpg,750,1329,66.19,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000010.jpg,1500,1320,124.1,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000011.jpg,892,1390,95.04,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000012.jpg,799,1024,72.03,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000013.jpg,736,1308,136.93,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000014.jpg,474,474,38.44,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000015.jpg,1280,1134,118.54,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000016.jpg,1300,991,65.47,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000017.jpg,1152,2048,52.71,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000018.jpg,474,948,71.41,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000019.jpg,576,864,1.87,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000020.jpg,736,920,57.88,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000021.jpg,720,847,87.98,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000022.jpg,600,600,121.54,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000023.jpg,1836,3264,57.26,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000024.jpg,474,925,73.65,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000025.jpg,474,843,75.87,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000026.jpg,735,913,29.34,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000027.jpg,1080,2112,106.97,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000028.jpg,675,1200,96.06,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000029.jpg,1220,1188,100.26,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000030.jpg,828,828,93.77,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000031.jpg,945,2048,52.47,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000032.jpg,911,1200,93.15,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000033.jpg,1920,1080,45.88,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000034.jpg,1920,1080,30.65,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000035.jpg,865,1390,80.73,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000036.jpg,599,900,99.25,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000037.jpg,1200,675,101.05,1
dataset/ronaldo\Cristiano_Ronaldo_2008_face\000038.jpg,736,1297,17.93,1
